Ricky,Patrick,Fire
Lamy,Lamm,Water
Sean,John,Inferno
Kate,Katharine,Cocytus
Ed,Edward,Grenade
Rose,Rosemary,Thermal
Babs,Barbara,Nova
Abbie,Abigail,Crystal
Gerry,Gerald,Stream
Jim,James,Glacier
Becky,Rebecca,Cannon
Terry,Terrence,Spark
Zack,Zachary,Thunderstorm
Ike,Isaac,Tornado
Pattie,Patricia,Squall
Nate,Nathan,Wind
Nell,Ellen,Anima
Ben,Benjamin,Rock
Deb,Deborah,Meteor
Kenny,Kenneth,Dry
Nick,Nicholas,Comet
Pete,Peter,Estrella
Rudy,Rudolph,Thunderstorm
Tom,Thomas,Electric
Will,William,Fimbul
Vince,Vincent,Flood
Phil,Philip,Bubble
Mike,Michael,Splash
Jake,Jacob,Stream
Dolly,Dorothy,Thermal
Charly,Charles,Burning
Bee,Beatrice,Aqua
Emmie,Emma,Charm
Kim,Kimberly,Iris
Lucy,Lucille,Volcano
Mae,Mary,Beam
Ray,Raymond,Happiness
Sam,Samuel,Flash
Tiff,Tiffany,AntiEvil
Wally,Wallace,Curse
Ron,Ronald,Violence
Don,Donald,DivineRain
Frank,Francis,Holly
Gil,Gilbert,Hydrobomb
Jeff,Jefferey,Reflection
Hal,Harold,Alchemy
Leo,Leonard,Purgacion
Tim,Timothy,Graviton
Larry,Lawrence,Darkmatter
